record_id,source,candidates_tried,resolved_doi,resolved_pmid,resolved_openalex_id,resolved_europepmc_id,fetched_via,title_first40,ok,error
API_PubMed_10_1007_s12032_025_03200_7,PubMed,10.1007/s12032-025-03200-7|10.1007/s12032.025.03200.7,10.1007/s12032-025-03200-7,41452543,,,PubMed:doi:10.1007/s12032-025-03200-7,Investigation of the effect of encapsula,True,
API_OpenAlex_10_2166_wqrj_2025_052,OpenAlex,10.2166/wqrj-2025-052|10.2166/wqrj.2025.052,10.2166/wqrj.2025.052,,W4415204054,,OpenAlex:doi:10.2166/wqrj.2025.052,Critical review of oxidant application a,True,
API_OpenAlex_10_1021_acs_biomac_5b01003,OpenAlex,10.1021/acs-biomac-5b01003|10.1021/acs.biomac.5b01003,10.1021/acs.biomac.5b01003,,W2255415001,,OpenAlex:doi:10.1021/acs.biomac.5b01003,PEGylated Silk Nanoparticles for Antican,True,
API_PubMed_10_1080_03639045_2025_2562181,PubMed,10.1080/03639045-2025-2562181|10.1080/03639045.2025.2562181,10.1080/03639045.2025.2562181,40955741,,,PubMed:doi:10.1080/03639045-2025-2562181,Targeted delivery of resveratrol using P,True,
API_OpenAlex_10_1155_2017_8234712,OpenAlex,10.1155/2017-8234712|10.1155/2017.8234712,10.1155/2017/8234712,28331495,,,PubMed:doi:10.1155/2017-8234712,Development and In Vitro Evaluation of L,True,
API_PubMed_10_1021_acs_molpharmaceut_5c01256,PubMed,10.1021/acs-molpharmaceut-5c01256|10.1021/acs.molpharmaceut.5c01256,10.1021/acs.molpharmaceut.5c01256,41389005,,,PubMed:doi:10.1021/acs-molpharmaceut-5c01256,Boosting Oral Chemotherapy Efficacy and ,True,
API_OpenAlex_10_1088_0957_4484_23_9_095102,OpenAlex,10.1088/0957-4484-23-9-095102|10.1088/0957.4484.23.9.095102,10.1088/0957-4484/23/9/095102,22322015,,,PubMed:doi:10.1088/0957-4484-23-9-095102,Fibrin nanoconstructs: a novel processin,True,
API_OpenAlex_10_3390_pharmaceutics10040242,OpenAlex,10.3390/pharmaceutics10040242,10.3390/pharmaceutics10040242,,W2897847473,,OpenAlex:doi:10.3390/pharmaceutics10040242,Diatoms Green Nanotechnology for Biosili,True,
API_OpenAlex_10_1021_acs_molpharmaceut_3c00983,OpenAlex,10.1021/acs-molpharmaceut-3c00983|10.1021/acs.molpharmaceut.3c00983,10.1021/acs.molpharmaceut.3c00983,,W4396944334,,OpenAlex:doi:10.1021/acs.molpharmaceut.3c00983,Gemcitabine-Phospholipid Complex Loaded ,True,
API_PubMed_10_1016_j_ijpharm_2026_126860,PubMed,10.1016/j-ijpharm-2026-126860|10.1016/j.ijpharm.2026.126860,10.1016/j.ijpharm.2026.126860,41997511,,,PubMed:doi:10.1016/j-ijpharm-2026-126860,Endogenous and exogenous stimuli-respons,True,
API_OpenAlex_10_1155_2014_689391,OpenAlex,10.1155/2014-689391|10.1155/2014.689391,10.1155/2014/689391,25045692,,,PubMed:doi:10.1155/2014-689391,Formulation optimization of erythromycin,True,
API_OpenAlex_10_1039_d0tb00012d,OpenAlex,10.1039/d0tb00012d,10.1039/d0tb00012d,,W3009993694,,OpenAlex:doi:10.1039/d0tb00012d,Controlled drug release from polyelectro,True,
API_OpenAlex_10_1038_s41598_020_65773_9,OpenAlex,10.1038/s41598-020-65773-9|10.1038/s41598.020.65773.9,10.1038/s41598-020-65773-9,,W3030076929,,OpenAlex:doi:10.1038/s41598-020-65773-9,Preparation of high drug-loading celastr,True,
API_PubMed_10_2174_0115680096414252251125053406,PubMed,10.2174/0115680096414252251125053406,10.2174/0115680096414252251125053406,41572678,,,PubMed:doi:10.2174/0115680096414252251125053406,Design of Experiments-Based Formulation ,True,
